TermID	padj	species
Uridine kinase-like	0.01190936829207318	Gmax
Inositol monophosphatase-like	0.01190936829207318	Gmax
2-isopropylmalate synthase, bacterial-type	0.01190936829207318	Gmax
3-hydroxyacyl-CoA dehydrogenase	0.01190936829207318	Gmax
Acetyl-CoA carboxylase, biotin carboxylase	0.01190936829207318	Gmax
Aminodeoxychorismate synthase, component I	0.01190936829207318	Gmax
Aminotransferase, class-II, pyridoxal-phosphate binding site	0.01190936829207318	Gmax
AP-3 complex subunit beta	0.01190936829207318	Gmax
AP-3 complex subunit beta, C-terminal domain	0.01190936829207318	Gmax
AP-3 complex subunit sigma	0.01190936829207318	Gmax
ATP synthase, F1 beta subunit	0.01190936829207318	Gmax
ATP synthase, F1 beta subunit superfamily	0.01190936829207318	Gmax
ATP synthase, F1 complex, beta subunit	0.01190936829207318	Gmax
ATPase, V1 complex, subunit A	0.01190936829207318	Gmax
ATPsynthase alpha/beta subunit, N-terminal extension	0.01190936829207318	Gmax
ATX1/2, ePHD domain	0.01190936829207318	Gmax
ATX1/2, PHD domain	0.01190936829207318	Gmax
Bacterial bifunctional deaminase-reductase, C-terminal	0.01190936829207318	Gmax
Bifunctional delta 1-pyrroline-5-carboxylate synthetase, glutamate-5-kinase domain	0.01190936829207318	Gmax
Bifunctional polymyxin resistance protein ArnA-like, extended (e) SDRs	0.01190936829207318	Gmax
BRCT domain-containing protein At4g02110-like	0.01190936829207318	Gmax
Cdc6, C-terminal	0.01190936829207318	Gmax
Cell division protein Cdc6/18	0.01190936829207318	Gmax
Chloroplast protein import component Toc34	0.01190936829207318	Gmax
Citrate synthase, eukaryotic-type	0.01190936829207318	Gmax
CoA-binding	0.01190936829207318	Gmax
Cyclophilin-RNA interacting protein	0.01190936829207318	Gmax
Dihydrolipoamide succinyltransferase	0.01190936829207318	Gmax
DNA mismatch repair Msh2-type	0.01190936829207318	Gmax
DNA mismatch repair protein Mlh3	0.01190936829207318	Gmax
DNA recombination/repair protein Rad51	0.01190936829207318	Gmax
DNA replication licensing factor Mcm2	0.01190936829207318	Gmax
DNA replication licensing factor Mcm3	0.01190936829207318	Gmax
DNA replication licensing factor Mcm5	0.01190936829207318	Gmax
DNA replication licensing factor Mcm6	0.01190936829207318	Gmax
DNA replication licensing factor Mcm7	0.01190936829207318	Gmax
DNA-directed RNA polymerase I subunit RPA2, domain 4	0.01190936829207318	Gmax
Dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase	0.01190936829207318	Gmax
Domain of unknown function DUF3385,  target of rapamycin protein	0.01190936829207318	Gmax
E2 binding	0.01190936829207318	Gmax
E3 ubiquitin-protein ligase COP1	0.01190936829207318	Gmax
Exosome complex component RRP45	0.01190936829207318	Gmax
FKBP12-rapamycin binding domain	0.01190936829207318	Gmax
FKBP12-rapamycin binding domain superfamily	0.01190936829207318	Gmax
Gamma tubulin	0.01190936829207318	Gmax
Glutamine-tRNA synthetase	0.01190936829207318	Gmax
Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain 2	0.01190936829207318	Gmax
Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain, N-terminal	0.01190936829207318	Gmax
Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain, N-terminal, subdomain 1	0.01190936829207318	Gmax
Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain, N-terminal, subdomain 2	0.01190936829207318	Gmax
Glutamyl-tRNA synthetase, archaeal/eukaryotic cytosolic	0.01190936829207318	Gmax
Glycoside hydrolase, family 3, active site	0.01190936829207318	Gmax
Glycosyl transferase, ALG6/ALG8	0.01190936829207318	Gmax
GPN-loop GTPase 2	0.01190936829207318	Gmax
Guanine nucleotide-binding protein-like 3, N-terminal domain	0.01190936829207318	Gmax
Histone-lysine N-methyltransferase Set1-like	0.01190936829207318	Gmax
Isoleucine-tRNA ligase	0.01190936829207318	Gmax
Isoleucine-tRNA ligase, type 2	0.01190936829207318	Gmax
Isoleucyl tRNA synthetase type 2, anticodon-binding domain	0.01190936829207318	Gmax
Magnesium chelatase, ATPase subunit D	0.01190936829207318	Gmax
Magnesium-chelatase BchD/ChlD, VWA domain	0.01190936829207318	Gmax
Malate dehydrogenase, NAD-dependent, cytosolic	0.01190936829207318	Gmax
Mcm6, C-terminal winged-helix domain	0.01190936829207318	Gmax
Methionine-tRNA synthetase, type 2	0.01190936829207318	Gmax
Mini-chromosome maintenance complex protein 4	0.01190936829207318	Gmax
N6-adenosine-methyltransferase non-catalytic subunit METTL14-like	0.01190936829207318	Gmax
NADAR	0.01190936829207318	Gmax
NEDD8-activating enzyme E1 catalytic subunit	0.01190936829207318	Gmax
NEDD8-activating enzyme E1 regulatory subunit APP-BP1	0.01190936829207318	Gmax
Nucleolar GTP-binding protein 2	0.01190936829207318	Gmax
Nucleolar GTP-binding protein 2, N-terminal domain	0.01190936829207318	Gmax
Oil body-associated protein-like	0.01190936829207318	Gmax
Origin recognition complex, subunit 1	0.01190936829207318	Gmax
PDK1-type, PH domain	0.01190936829207318	Gmax
PDPK1 family	0.01190936829207318	Gmax
PI4-kinase, N-terminal	0.01190936829207318	Gmax
PPIL4-like, cyclophilin domain	0.01190936829207318	Gmax
Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term	0.01190936829207318	Gmax
Proteasome subunit alpha 3, plant	0.01190936829207318	Gmax
Proteasome subunit beta 2	0.01190936829207318	Gmax
Protein Fyv10/E3 ubiquitin-protein transferase MAEA	0.01190936829207318	Gmax
Replication factor C subunit 1	0.01190936829207318	Gmax
Riboflavin-specific deaminase, C-terminal	0.01190936829207318	Gmax
Ribosomal protein S27a	0.01190936829207318	Gmax
Ribosome maturation protein SBDS, N-terminal domain superfamily	0.01190936829207318	Gmax
Ribosome maturation protein Sdo1/SBDS	0.01190936829207318	Gmax
Ribosome maturation protein Sdo1/SBDS-like	0.01190936829207318	Gmax
Ribosome maturation protein Sdo1/SBDS, C-terminal	0.01190936829207318	Gmax
Ribosome maturation protein Sdo1/SBDS, central domain superfamily	0.01190936829207318	Gmax
Ribosome maturation protein Sdo1/SBDS, N-terminal	0.01190936829207318	Gmax
RNA helicase UPF1, 1B domain	0.01190936829207318	Gmax
RNA helicase UPF1, Cys/His rich zinc-binding domain	0.01190936829207318	Gmax
RuvB-like helicase 2	0.01190936829207318	Gmax
S27a-like superfamily	0.01190936829207318	Gmax
Sas10 C-terminal domain	0.01190936829207318	Gmax
Serine/Threonine Kinase AGC, catalytic domain	0.01190936829207318	Gmax
Serine/threonine-protein kinase TOR	0.01190936829207318	Gmax
Signal recognition particle receptor, alpha subunit, N-terminal	0.01190936829207318	Gmax
Signal-recognition particle receptor FtsY	0.01190936829207318	Gmax
Sirtuin, catalytic core small domain superfamily	0.01190936829207318	Gmax
Sirtuin, class II	0.01190936829207318	Gmax
Sm-like protein Lsm7	0.01190936829207318	Gmax
Small nuclear ribonucleoprotein F	0.01190936829207318	Gmax
Smc1, ATP-binding cassette domain	0.01190936829207318	Gmax
Smc2, ATP-binding cassette domain	0.01190936829207318	Gmax
snRNP35, RNA recognition motif	0.01190936829207318	Gmax
Structural maintenance of chromosomes 3, ABC domain, eukaryotic	0.01190936829207318	Gmax
Structural maintenance of chromosomes 4, ABC domain, eukaryotic	0.01190936829207318	Gmax
Succinyl-CoA ligase, alpha subunit	0.01190936829207318	Gmax
SUMO-activating enzyme subunit Uba2	0.01190936829207318	Gmax
T-complex protein 1, alpha subunit	0.01190936829207318	Gmax
T-complex protein 1, beta subunit	0.01190936829207318	Gmax
T-complex protein 1, epsilon subunit	0.01190936829207318	Gmax
T-complex protein 1, eta subunit	0.01190936829207318	Gmax
T-complex protein 1, theta subunit	0.01190936829207318	Gmax
T-complex protein 1, zeta subunit	0.01190936829207318	Gmax
Translation initiation factor eIF-2B subunit alpha, N-terminal	0.01190936829207318	Gmax
tRNA-guanine transglycosylase	0.01190936829207318	Gmax
U2 snRNP auxilliary factor, large subunit, splicing factor	0.01190936829207318	Gmax
Ubiquitin/SUMO-activating enzyme ubiquitin-like domain	0.01190936829207318	Gmax
Uridine kinase-like protein, plant	0.01190936829207318	Gmax
V-type ATP synthase catalytic alpha chain	0.01190936829207318	Gmax
YbiA-like superfamily	0.01190936829207318	Gmax
Clathrin/coatomer adaptor, adaptin-like, N-terminal	0.013560519706022059	Gmax
Arf GTPase activating protein	0.014883298939849847	Gmax
ARFGAP/RecO-like zinc finger	0.014883298939849847	Gmax
Alpha-D-phosphohexomutase, alpha/beta/alpha I/II/III	0.015399950015043008	Gmax
ArfGAP domain superfamily	0.01700797872425009	Gmax
DNA mismatch repair protein MutS, N-terminal	0.01814832059080252	Gmax
DNA polymerase, palm domain superfamily	0.01814832059080252	Gmax
DNA recombination and repair protein Rad51-like, C-terminal	0.01814832059080252	Gmax
DNA-directed DNA polymerase, family B, multifunctional domain	0.01814832059080252	Gmax
Phosphoglucose isomerase (PGI)	0.01814832059080252	Gmax
Phosphoglucose isomerase, SIS domain 2	0.01814832059080252	Gmax
2-oxo acid dehydrogenase, lipoyl-binding site	0.01940904908940803	Gmax
ATP-grasp fold, subdomain 1	0.01940904908940803	Gmax
Peptidase M41	0.022270859947068417	Gmax
Cullin	0.024279089465255567	Gmax
DNA recombination and repair protein RecA, monomer-monomer interface	0.026381894094164693	Gmax
Pyridoxal-phosphate binding site	0.026381894094164693	Gmax
AMP-binding enzyme, C-terminal domain	0.027776824573797262	Gmax
Chalcone/stilbene synthase, C-terminal	0.02976411396126584	Gmax
Cullin homology domain	0.02976411396126584	Gmax
Cullin homology domain superfamily	0.02976411396126584	Gmax
Metallo-beta-lactamase	0.029950980469789293	Gmax
26S proteasome regulatory subunit 8	0.033184798085662194	Gmax
Anaphase-promoting complex subunit 11, RING-H2 finger	0.033184798085662194	Gmax
C4-type zinc-finger of DNA polymerase delta	0.033184798085662194	Gmax
DNA ligase, ATP-dependent	0.033184798085662194	Gmax
DNA recombination and repair protein, RecA-like	0.033184798085662194	Gmax
DNA replication factor RFC1, C-terminal	0.033184798085662194	Gmax
DNA-directed RNA polymerase Rpb11, 13-16kDa subunit, conserved site	0.033184798085662194	Gmax
DNA-directed RNA polymerase, RBP11-like dimerisation domain	0.033184798085662194	Gmax
DNA-directed RNA polymerases I and III subunit AC40	0.033184798085662194	Gmax
eIF3B, RNA recognition motif	0.033184798085662194	Gmax
Methionine-tRNA ligase, type 1	0.033184798085662194	Gmax
Methionyl-tRNA synthetase, Zn-domain	0.033184798085662194	Gmax
Phosphoglucose isomerase, C-terminal	0.033184798085662194	Gmax
Rad51/DMC1/RadA	0.033184798085662194	Gmax
Ran-binding protein Vid30/RanBPM/SPLA, SPRY domain	0.033184798085662194	Gmax
RNA polymerase RBP11	0.033184798085662194	Gmax
Small nuclear ribonucleoprotein G	0.033184798085662194	Gmax
Translation initiation factor 2A	0.033184798085662194	Gmax
BRCT domain	0.03370991577039177	Gmax
Domain of unknown function DUF1605	0.03370991577039177	Gmax
Cullin, N-terminal	0.03522661037111776	Gmax
Cytochrome b5, heme-binding site	0.03522661037111776	Gmax
Clathrin adaptor, alpha/beta/gamma-adaptin, appendage, Ig-like subdomain	0.03549941791475786	Gmax
BRCT domain superfamily	0.038477957560676825	Gmax
Helicase-associated domain	0.038477957560676825	Gmax
AP complex, mu/sigma subunit	0.04218376049330284	Gmax
Cytidine and deoxycytidylate deaminase domain	0.04218376049330284	Gmax
Fungal lipase-like domain	0.042825982109684024	Gmax
Coatomer/calthrin adaptor appendage, C-terminal subdomain	0.047264481924356165	Gmax
Inositol monophosphatase, conserved site	0.047264481924356165	Gmax
Peptidase M41-like	0.04962668732118419	Gmax
Chalcone/stilbene synthase, N-terminal	0.049857630841783206	Gmax
DHS-like NAD/FAD-binding domain superfamily	0.049857630841783206	Gmax
Polyketide synthase, type III	0.049857630841783206	Gmax
vesicle-mediated transport	9.723642658462107e-22	Athaliana
intracellular protein transport	1.3675497486887142e-21	Athaliana
mitotic cell cycle phase transition	1.3675497486887142e-21	Athaliana
cell division	1.797879416878543e-20	Athaliana
protein transport	2.031419308466782e-20	Athaliana
cell cycle	5.883553300725394e-20	Athaliana
vesicle fusion	1.746503022652742e-17	Athaliana
proteasomal protein catabolic process	6.789272557865121e-17	Athaliana
regulation of cyclin-dependent protein serine/threonine kinase activity	1.8992450093483946e-16	Athaliana
photosynthesis, light harvesting	4.1968000077084205e-15	Athaliana
photosynthesis, light harvesting in photosystem I	4.1968000077084205e-15	Athaliana
vesicle docking	2.0761820580600308e-13	Athaliana
protein-chromophore linkage	2.168899713796413e-12	Athaliana
mRNA processing	8.749580164989247e-12	Athaliana
membrane fusion	1.1641354102704327e-11	Athaliana
exonucleolytic catabolism of deadenylated mRNA	8.158073589915741e-10	Athaliana
RNA splicing	1.9954824321855966e-9	Athaliana
translation	6.313272322964924e-9	Athaliana
mRNA splicing, via spliceosome	8.019230652780259e-9	Athaliana
tricarboxylic acid cycle	1.0452920916653836e-8	Athaliana
photosynthesis	2.022139808100281e-8	Athaliana
Golgi to vacuole transport	4.8494115713343915e-8	Athaliana
glucosinolate catabolic process	1.1850444100777113e-7	Athaliana
carbohydrate phosphorylation	2.53045269892621e-7	Athaliana
ATP synthesis coupled proton transport	7.234346875014078e-7	Athaliana
positive regulation of anaphase-promoting complex-dependent catabolic process	2.468689811596274e-6	Athaliana
positive regulation of proteasomal protein catabolic process	2.468689811596274e-6	Athaliana
positive regulation of ubiquitin protein ligase activity	2.468689811596274e-6	Athaliana
regulation of G2/M transition of mitotic cell cycle	2.468689811596274e-6	Athaliana
proteolysis involved in cellular protein catabolic process	2.468689811596274e-6	Athaliana
endoplasmic reticulum to Golgi vesicle-mediated transport	2.8337322838318143e-6	Athaliana
DNA repair	3.3577586171798962e-6	Athaliana
RNA phosphodiester bond hydrolysis, exonucleolytic	5.6119272026655475e-6	Athaliana
regulation of catalytic activity	5.6981350299542195e-6	Athaliana
gene silencing by RNA	9.260603685343569e-6	Athaliana
nuclear mRNA surveillance	9.91956836219816e-6	Athaliana
G1/S transition of mitotic cell cycle	1.5383629243303118e-5	Athaliana
response to low light intensity stimulus	1.5383629243303118e-5	Athaliana
proton transmembrane transport	1.8225608586155946e-5	Athaliana
ribosomal small subunit assembly	2.3105807407557845e-5	Athaliana
negative regulation of defense response	3.1361745835664e-5	Athaliana
intra-Golgi vesicle-mediated transport	3.657426824970596e-5	Athaliana
vacuolar transport	3.657426824970596e-5	Athaliana
anaphase-promoting complex-dependent catabolic process	5.9871427239733185e-5	Athaliana
carboxylic acid metabolic process	9.54715845361858e-5	Athaliana
exocytosis	9.54715845361858e-5	Athaliana
ATP metabolic process	9.54715845361858e-5	Athaliana
glutamate metabolic process	9.54715845361858e-5	Athaliana
rRNA catabolic process	9.54715845361858e-5	Athaliana
Arp2/3 complex-mediated actin nucleation	1.119196999374761e-4	Athaliana
calcium import into the mitochondrion	1.119196999374761e-4	Athaliana
mitochondrial calcium ion homeostasis	1.119196999374761e-4	Athaliana
glycolytic process	1.421385135724993e-4	Athaliana
guard mother cell differentiation	1.5830869754980458e-4	Athaliana
post-transcriptional gene silencing by RNA	1.5830869754980458e-4	Athaliana
protein quality control for misfolded or incompletely synthesized proteins	1.6937763418001597e-4	Athaliana
amine metabolic process	3.065397048527371e-4	Athaliana
fructose metabolic process	3.065397048527371e-4	Athaliana
nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5'	3.065397048527371e-4	Athaliana
peptidyl-serine dephosphorylation	3.065397048527371e-4	Athaliana
SRP-dependent cotranslational protein targeting to membrane	3.065397048527371e-4	Athaliana
U4 snRNA 3'-end processing	3.065397048527371e-4	Athaliana
double-strand break repair via homologous recombination	3.4191511310905775e-4	Athaliana
DNA replication	3.568071505635366e-4	Athaliana
cellular metabolic process	3.568071505635366e-4	Athaliana
starch biosynthetic process	3.568071505635366e-4	Athaliana
cellular glucose homeostasis	5.190391624179568e-4	Athaliana
glucose 6-phosphate metabolic process	5.190391624179568e-4	Athaliana
hexose metabolic process	5.190391624179568e-4	Athaliana
long-chain fatty acid metabolic process	5.190391624179568e-4	Athaliana
production of ta-siRNAs involved in RNA interference	5.190391624179568e-4	Athaliana
meiotic cell cycle	6.538975884311454e-4	Athaliana
chromosome organization	6.614832054321496e-4	Athaliana
geranylgeranyl diphosphate biosynthetic process	6.614832054321496e-4	Athaliana
phospholipid catabolic process	6.614832054321496e-4	Athaliana
positive regulation of cyclin-dependent protein serine/threonine kinase activity	6.614832054321496e-4	Athaliana
positive regulation of DNA-templated transcription, elongation	6.614832054321496e-4	Athaliana
protein geranylgeranylation	6.614832054321496e-4	Athaliana
receptor-mediated endocytosis	6.614832054321496e-4	Athaliana
cytidine to uridine editing	6.815861700767396e-4	Athaliana
protein transmembrane transport	6.815861700767396e-4	Athaliana
spliceosomal snRNP assembly	6.976187699953598e-4	Athaliana
mRNA catabolic process	0.0011804534371840532	Athaliana
exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.0014819199911097851	Athaliana
nuclear polyadenylation-dependent rRNA catabolic process	0.0014819199911097851	Athaliana
nuclear polyadenylation-dependent tRNA catabolic process	0.0014819199911097851	Athaliana
phosphatidylinositol-mediated signaling	0.0014819199911097851	Athaliana
pollen maturation	0.0014819199911097851	Athaliana
protein insertion into mitochondrial outer membrane	0.0014819199911097851	Athaliana
regulation of actin filament polymerization	0.0014819199911097851	Athaliana
mitotic cell cycle	0.0015106671358372128	Athaliana
ATP biosynthetic process	0.0015276969945675828	Athaliana
DNA endoreduplication	0.0015276969945675828	Athaliana
production of siRNA involved in RNA interference	0.001595801614438933	Athaliana
protein import into mitochondrial matrix	0.001595801614438933	Athaliana
fatty acid beta-oxidation	0.0027033801270644497	Athaliana
peptidyl-arginine methylation	0.0029024889529703606	Athaliana
protein prenylation	0.0029024889529703606	Athaliana
DNA-dependent DNA replication	0.003111242307832466	Athaliana
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	0.003812986926473244	Athaliana
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.003812986926473244	Athaliana
protein targeting to chloroplast	0.003812986926473244	Athaliana
RNA metabolic process	0.003812986926473244	Athaliana
ribosome biogenesis	0.003812986926473244	Athaliana
5-phosphoribose 1-diphosphate biosynthetic process	0.003812986926473244	Athaliana
DNA replication initiation	0.003812986926473244	Athaliana
double-strand break repair via synthesis-dependent strand annealing	0.003812986926473244	Athaliana
glucan catabolic process	0.003812986926473244	Athaliana
glutamine biosynthetic process	0.003812986926473244	Athaliana
L-methionine salvage from methylthioadenosine	0.003812986926473244	Athaliana
mitochondrial pyruvate transmembrane transport	0.003812986926473244	Athaliana
mitotic DNA replication checkpoint signaling	0.003812986926473244	Athaliana
mitotic spindle organization	0.003812986926473244	Athaliana
mRNA cleavage	0.003812986926473244	Athaliana
nuclear polyadenylation-dependent mRNA catabolic process	0.003812986926473244	Athaliana
nucleotide biosynthetic process	0.003812986926473244	Athaliana
photosynthesis, light harvesting in photosystem II	0.003812986926473244	Athaliana
response to putrescine	0.003812986926473244	Athaliana
RNA polymerase II preinitiation complex assembly	0.003812986926473244	Athaliana
sister chromatid segregation	0.003812986926473244	Athaliana
U1 snRNA 3'-end processing	0.003812986926473244	Athaliana
U5 snRNA 3'-end processing	0.003812986926473244	Athaliana
vacuolar acidification	0.003812986926473244	Athaliana
protein targeting to vacuole	0.0048625127577242785	Athaliana
response to far red light	0.005360551341233653	Athaliana
flower development	0.005360551341233653	Athaliana
modification-dependent protein catabolic process	0.005436438067056754	Athaliana
response to light stimulus	0.005594772610906667	Athaliana
regulation of defense response	0.006038401249094532	Athaliana
meristem structural organization	0.006303550590656361	Athaliana
anion transmembrane transport	0.006546552605359756	Athaliana
cytoplasmic microtubule organization	0.006546552605359756	Athaliana
farnesyl diphosphate biosynthetic process	0.006546552605359756	Athaliana
geranyl diphosphate biosynthetic process	0.006546552605359756	Athaliana
microtubule nucleation	0.006546552605359756	Athaliana
nucleic acid metabolic process	0.006546552605359756	Athaliana
nucleoside diphosphate catabolic process	0.006546552605359756	Athaliana
polyadenylation-dependent snoRNA 3'-end processing	0.006546552605359756	Athaliana
cellular response to abscisic acid stimulus	0.007347911307733634	Athaliana
fatty acid metabolic process	0.007347911307733634	Athaliana
mitochondrial mRNA modification	0.007728583270377499	Athaliana
regulation of protein serine/threonine phosphatase activity	0.007897808587548016	Athaliana
chromatin organization	0.008156327652018867	Athaliana
response to high light intensity	0.008668221757907844	Athaliana
response to virus	0.009359568983627815	Athaliana
ubiquitin-dependent ERAD pathway	0.009359568983627815	Athaliana
positive regulation of transcription by RNA polymerase II	0.011510611867108209	Athaliana
DNA biosynthetic process	0.012478201353739251	Athaliana
transcription, DNA-templated	0.01268557238809193	Athaliana
adenine salvage	0.013960511548133884	Athaliana
negative regulation of macromolecule metabolic process	0.013960511548133884	Athaliana
nitric oxide biosynthetic process	0.013960511548133884	Athaliana
RNAi-mediated antiviral immune response	0.013960511548133884	Athaliana
glutamate catabolic process	0.01410866683939303	Athaliana
methionine metabolic process	0.01410866683939303	Athaliana
reciprocal meiotic recombination	0.01895279474482402	Athaliana
protein catabolic process	0.019491717920920026	Athaliana
red, far-red light phototransduction	0.019491717920920026	Athaliana
red or far-red light signaling pathway	0.020439974731337844	Athaliana
proteasome-mediated ubiquitin-dependent protein catabolic process	0.022989655433186408	Athaliana
carbohydrate metabolic process	0.022989655433186408	Athaliana
ascorbate glutathione cycle	0.022989655433186408	Athaliana
CDP-diacylglycerol biosynthetic process	0.022989655433186408	Athaliana
COPI coating of Golgi vesicle	0.022989655433186408	Athaliana
fatty acid beta-oxidation using acyl-CoA oxidase	0.022989655433186408	Athaliana
glycosaminoglycan biosynthetic process	0.022989655433186408	Athaliana
histone ubiquitination	0.022989655433186408	Athaliana
intralumenal vesicle formation	0.022989655433186408	Athaliana
maintenance of inflorescence meristem identity	0.022989655433186408	Athaliana
mitotic chromosome condensation	0.022989655433186408	Athaliana
peptidyl-arginine methylation, to asymmetrical-dimethyl arginine	0.022989655433186408	Athaliana
polyamine metabolic process	0.022989655433186408	Athaliana
positive regulation of MAPK cascade	0.022989655433186408	Athaliana
positive regulation of reactive oxygen species biosynthetic process	0.022989655433186408	Athaliana
positive regulation of seed maturation	0.022989655433186408	Athaliana
positive regulation of signal transduction	0.022989655433186408	Athaliana
production of small RNA involved in gene silencing by RNA	0.022989655433186408	Athaliana
regulation of double-strand break repair via homologous recombination	0.022989655433186408	Athaliana
rescue of stalled ribosome	0.022989655433186408	Athaliana
ribonucleoside monophosphate biosynthetic process	0.022989655433186408	Athaliana
strand invasion	0.022989655433186408	Athaliana
termination of RNA polymerase II transcription	0.022989655433186408	Athaliana
UDP-glucuronate biosynthetic process	0.022989655433186408	Athaliana
pollen development	0.024020232352101805	Athaliana
phosphate-containing compound metabolic process	0.024020232352101805	Athaliana
response to herbicide	0.024020232352101805	Athaliana
endoplasmic reticulum unfolded protein response	0.024397901179339182	Athaliana
chromosome segregation	0.028959082219172042	Athaliana
regulation of timing of transition from vegetative to reproductive phase	0.029639527745234873	Athaliana
COPII-coated vesicle cargo loading	0.029639527745234873	Athaliana
deadenylation-dependent decapping of nuclear-transcribed mRNA	0.029639527745234873	Athaliana
developmental growth	0.029639527745234873	Athaliana
inositol trisphosphate metabolic process	0.029639527745234873	Athaliana
protein targeting to mitochondrion	0.029639527745234873	Athaliana
somatic cell DNA recombination	0.029639527745234873	Athaliana
transcription by RNA polymerase II	0.029639527745234873	Athaliana
transcription, RNA-templated	0.029639527745234873	Athaliana
protein folding	0.03907366195073564	Athaliana
transcription initiation from RNA polymerase II promoter	0.039634883828375114	Athaliana
carotenoid biosynthetic process	0.0403784321303311	Athaliana
systemic acquired resistance, salicylic acid mediated signaling pathway	0.0403784321303311	Athaliana
mitochondrion organization	0.047875814492112825	Athaliana
Cyclin, N-terminal	6.233069065070885e-25	Athaliana
Cyclin-like	3.2491501957836475e-23	Athaliana
Cyclin	2.3629525380248853e-21	Athaliana
Cyclin, C-terminal domain	1.6061858962416524e-20	Athaliana
Cyclin-like superfamily	6.900190864419335e-20	Athaliana
Proteasome, subunit alpha/beta	7.948034739327363e-18	Athaliana
Syntaxin/epimorphin, conserved site	5.571193291846061e-16	Athaliana
Nucleophile aminohydrolases, N-terminal	1.2209955604388933e-15	Athaliana
Chlorophyll A-B binding protein	7.251538190333704e-15	Athaliana
Chlorophyll A-B binding protein, plant and chromista	7.251538190333704e-15	Athaliana
Syntaxin	7.251538190333704e-15	Athaliana
Glycoside hydrolase family 1	4.515531992040304e-14	Athaliana
Glycosyl hydrolases family 1, N-terminal conserved site	7.81744141123919e-14	Athaliana
Target SNARE coiled-coil homology domain	4.2651780651385096e-13	Athaliana
Syntaxin, N-terminal domain	1.7284886505593186e-12	Athaliana
WD40 repeat	1.1138324240825213e-11	Athaliana
WD40-repeat-containing domain superfamily	2.159981086306055e-11	Athaliana
Proteasome alpha-subunit, N-terminal domain	1.1093856525027644e-10	Athaliana
Proteasome alpha-type subunit	1.1093856525027644e-10	Athaliana
WD40/YVTN repeat-like-containing domain superfamily	5.107367755324571e-10	Athaliana
WD40 repeat, conserved site	8.498746017959477e-10	Athaliana
SNARE	1.5332672300915332e-9	Athaliana
ATPase, nucleotide binding domain	6.652740533873682e-9	Athaliana
Anaphase-promoting complex subunit 4, WD40 domain	7.1261185410367695e-9	Athaliana
G-protein beta WD-40 repeat	1.203429530734591e-8	Athaliana
Ribosomal protein S5 domain 2-type fold	3.9953912308402585e-8	Athaliana
ATP-dependent Clp protease proteolytic subunit	5.131432165910724e-8	Athaliana
CCR4-NOT transcription complex subunit 7/8/Pop2	5.131432165910724e-8	Athaliana
Clp protease proteolytic subunit /Translocation-enhancing protein TepA	5.131432165910724e-8	Athaliana
Ribonuclease CAF1	5.131432165910724e-8	Athaliana
ClpP/crotonase-like domain superfamily	1.640337009368042e-7	Athaliana
Polyprenyl synthetase	2.4885957925591508e-6	Athaliana
Polyprenyl synthetase, conserved site	2.4885957925591508e-6	Athaliana
26S proteasome regulatory subunit P45-like	3.2774117866044456e-6	Athaliana
DNA polymerase III, clamp loader complex, gamma/delta/delta subunit, C-terminal	3.2774117866044456e-6	Athaliana
Proteasome B-type subunit	3.2774117866044456e-6	Athaliana
Proteasome beta-type subunit, conserved site	3.2774117866044456e-6	Athaliana
The WD repeat Cdc20/Fizzy family	3.2774117866044456e-6	Athaliana
Citrate synthase	2.6031884536064452e-5	Athaliana
Citrate synthase superfamily	2.6031884536064452e-5	Athaliana
Citrate synthase-like, small alpha subdomain	2.6031884536064452e-5	Athaliana
Prohibitin	2.6031884536064452e-5	Athaliana
Ribokinase/fructokinase	2.6031884536064452e-5	Athaliana
Pyridoxal phosphate-dependent transferase	7.874669871201494e-5	Athaliana
Pyridoxal phosphate-dependent transferase, major domain	7.874669871201494e-5	Athaliana
AP complex, mu/sigma subunit	9.289408730760857e-5	Athaliana
F/V-ATP synthase subunit C superfamily	9.289408730760857e-5	Athaliana
MORF/ORRM1/DAG-like	9.289408730760857e-5	Athaliana
V-ATPase proteolipid subunit C-like domain	9.289408730760857e-5	Athaliana
LSM domain, eukaryotic/archaea-type	1.3035796803059546e-4	Athaliana
ATPase, alpha/beta subunit, nucleotide-binding domain, active site	1.3700299568083696e-4	Athaliana
ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain	1.3700299568083696e-4	Athaliana
ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain	1.3700299568083696e-4	Athaliana
Citrate synthase-like, large alpha subdomain	1.3700299568083696e-4	Athaliana
