TermID	genes	all	pval	padj	Class	Mode	Motif	Peak	Species
STAR protein, homodimerisation region	5	5	3.281045401122444e-4	0.015071797224367876	InterPro	SSD	bifan	peak2	Athaliana
Stem-specific protein TSJT1-like	5	5	3.281045401122444e-4	0.015071797224367876	InterPro	SSD	bifan	peak2	Athaliana
Transcriptional coactivator Hfi1/Transcriptional adapter 1	5	5	3.281045401122444e-4	0.015071797224367876	InterPro	SSD	bifan	peak2	Athaliana
EF-hand domain pair	45	138	3.601293536465593e-4	0.01646179520957924	InterPro	SSD	bifan	peak2	Athaliana
Class I peroxidase	6	7	3.8192100435708616e-4	0.01656471332851083	InterPro	SSD	bifan	peak2	Athaliana
Drought induced 19 protein type, zinc-binding domain	6	7	3.8192100435708616e-4	0.01656471332851083	InterPro	SSD	bifan	peak2	Athaliana
Early nodulin-like protein domain	6	7	3.8192100435708616e-4	0.01656471332851083	InterPro	SSD	bifan	peak2	Athaliana
Glutathione peroxidase	6	7	3.8192100435708616e-4	0.01656471332851083	InterPro	SSD	bifan	peak2	Athaliana
Glutathione peroxidase active site	6	7	3.8192100435708616e-4	0.01656471332851083	InterPro	SSD	bifan	peak2	Athaliana
Glutathione peroxidase conserved site	6	7	3.8192100435708616e-4	0.01656471332851083	InterPro	SSD	bifan	peak2	Athaliana
Heme-binding peroxidase Ccp1-like	6	7	3.8192100435708616e-4	0.01656471332851083	InterPro	SSD	bifan	peak2	Athaliana
KH domain-containing BBP-like	6	7	3.8192100435708616e-4	0.01656471332851083	InterPro	SSD	bifan	peak2	Athaliana
Protein DEHYDRATION-INDUCED 19	6	7	3.8192100435708616e-4	0.01656471332851083	InterPro	SSD	bifan	peak2	Athaliana
Protein dehydration-induced 19, C-terminal	6	7	3.8192100435708616e-4	0.01656471332851083	InterPro	SSD	bifan	peak2	Athaliana
Protein of unknown function DUF868, plant	6	7	3.8192100435708616e-4	0.01656471332851083	InterPro	SSD	bifan	peak2	Athaliana
Myb/SANT-like DNA-binding domain 4	13	25	3.862623090060026e-4	0.016675444590189697	InterPro	SSD	bifan	peak2	Athaliana
Cytochrome b5-like heme/steroid binding domain	9	14	3.9634933335368303e-4	0.016876518417913672	InterPro	SSD	bifan	peak2	Athaliana
Cytochrome b5-like heme/steroid binding domain superfamily	9	14	3.9634933335368303e-4	0.016876518417913672	InterPro	SSD	bifan	peak2	Athaliana
Jas TPL-binding domain	9	14	3.9634933335368303e-4	0.016876518417913672	InterPro	SSD	bifan	peak2	Athaliana
Mitochondrial carrier protein	17	38	5.097519522859763e-4	0.02144937662970143	InterPro	SSD	bifan	peak2	Athaliana
At5g01610-like superfamily	10	17	5.129448781151119e-4	0.02144937662970143	InterPro	SSD	bifan	peak2	Athaliana
Protein of unknown function DUF538	10	17	5.129448781151119e-4	0.02144937662970143	InterPro	SSD	bifan	peak2	Athaliana
SWIB/MDM2 domain superfamily	10	17	5.129448781151119e-4	0.02144937662970143	InterPro	SSD	bifan	peak2	Athaliana
Phosphoribosyltransferase domain	11	20	5.87085584500022e-4	0.024440058372601364	InterPro	SSD	bifan	peak2	Athaliana
Glutathione Transferase family	14	29	6.170428907038616e-4	0.025572999803615597	InterPro	SSD	bifan	peak2	Athaliana
CCT domain	9	15	8.139905833329306e-4	0.03329150083148937	InterPro	SSD	bifan	peak2	Athaliana
Dual specificity protein phosphatase domain	9	15	8.139905833329306e-4	0.03329150083148937	InterPro	SSD	bifan	peak2	Athaliana
Phloem protein 2-like	9	15	8.139905833329306e-4	0.03329150083148937	InterPro	SSD	bifan	peak2	Athaliana
CRAL-TRIO lipid binding domain	15	33	8.803452387143129e-4	0.03569225804787377	InterPro	SSD	bifan	peak2	Athaliana
CRAL-TRIO lipid binding domain superfamily	15	33	8.803452387143129e-4	0.03569225804787377	InterPro	SSD	bifan	peak2	Athaliana
Major sperm protein (MSP) domain	7	10	8.915107942609947e-4	0.0358333541227749	InterPro	SSD	bifan	peak2	Athaliana
Prolyl 4-hydroxylase	7	10	8.915107942609947e-4	0.0358333541227749	InterPro	SSD	bifan	peak2	Athaliana
DNA glycosylase	10	18	9.465505108339695e-4	0.037720442365499	InterPro	SSD	bifan	peak2	Athaliana
HAD hydrolase, subfamily IA	10	18	9.465505108339695e-4	0.037720442365499	InterPro	SSD	bifan	peak2	Athaliana
Zinc finger, PHD-finger	20	50	9.843689084190926e-4	0.03906059604684271	InterPro	SSD	bifan	peak2	Athaliana
Chaperone DnaJ	6	8	0.0012658521568912567	0.04938941992891619	InterPro	SSD	bifan	peak2	Athaliana
Cyclin/Cyclin-like subunit Ssn8	6	8	0.0012658521568912567	0.04938941992891619	InterPro	SSD	bifan	peak2	Athaliana
Heat shock protein DnaJ, cysteine-rich domain	6	8	0.0012658521568912567	0.04938941992891619	InterPro	SSD	bifan	peak2	Athaliana
Protein of unknown function DUF1685	6	8	0.0012658521568912567	0.04938941992891619	InterPro	SSD	bifan	peak2	Athaliana
WRKY	70	107	1.0830063608761944e-5	4.656927351767636e-4	Family	WGD	bifan	peak1	Gmax
HB-other	67	116	0.003290847118574558	0.047756744411210916	Family	WGD	bifan	peak1	Gmax
GATA	27	40	0.00333186588915425	0.047756744411210916	Family	WGD	bifan	peak1	Gmax
protein folding	124	286	2.3590967280346365e-13	5.902460013542661e-10	GOBP	WGD	bifan	peak1	Gmax
protein refolding	42	65	3.3588210532483736e-12	4.2018851376137156e-9	GOBP	WGD	bifan	peak1	Gmax
autophagy	36	63	1.4690632483901275e-8	1.2251987491573663e-5	GOBP	WGD	bifan	peak1	Gmax
protein dephosphorylation	53	111	3.313654653074871e-8	1.9711091543046904e-5	GOBP	WGD	bifan	peak1	Gmax
chaperone cofactor-dependent protein refolding	38	70	3.9390670549654085e-8	1.9711091543046904e-5	GOBP	WGD	bifan	peak1	Gmax
positive regulation of transcription by RNA polymerase II	51	109	1.3520633637482415e-7	4.894584537760055e-5	GOBP	WGD	bifan	peak1	Gmax
anatomical structure development	20	28	1.3693881600447795e-7	4.894584537760055e-5	GOBP	WGD	bifan	peak1	Gmax
ribosome biogenesis	49	105	2.6088162294223257e-7	8.159072757518323e-5	GOBP	WGD	bifan	peak1	Gmax
regulation of gene expression, epigenetic	12	13	3.379924950084121e-7	9.396191361233856e-5	GOBP	WGD	bifan	peak1	Gmax
mRNA processing	89	231	4.188189374201535e-7	1.047884981425224e-4	GOBP	WGD	bifan	peak1	Gmax
protein catabolic process	45	95	4.6644156343545217e-7	1.060942537923183e-4	GOBP	WGD	bifan	peak1	Gmax
translation	247	787	5.873410511289633e-7	1.2246060916038884e-4	GOBP	WGD	bifan	peak1	Gmax
phosphorylation	355	1201	1.8762394094800198e-6	3.61103923270693e-4	GOBP	WGD	bifan	peak1	Gmax
blue light signaling pathway	14	18	2.119244932474328e-6	3.7873934436076924e-4	GOBP	WGD	bifan	peak1	Gmax
peptidyl-threonine phosphorylation	25	44	2.7069028184175433e-6	4.4900460152943805e-4	GOBP	WGD	bifan	peak1	Gmax
macroautophagy	18	27	2.8713323838812986e-6	4.4900460152943805e-4	GOBP	WGD	bifan	peak1	Gmax
organelle localization	8	8	1.0373979286860039e-5	0.0015268056573955187	GOBP	WGD	bifan	peak1	Gmax
translational elongation	27	53	1.7118765067659183e-5	0.0023795083444046266	GOBP	WGD	bifan	peak1	Gmax
cellular amino acid biosynthetic process	59	151	2.120311242828904e-5	0.0027921151208199564	GOBP	WGD	bifan	peak1	Gmax
protein metabolic process	19	33	3.3326604744650724e-5	0.004169158253555806	GOBP	WGD	bifan	peak1	Gmax
thylakoid membrane organization	20	36	4.2098786301021726e-5	0.0050077791577848255	GOBP	WGD	bifan	peak1	Gmax
cellular response to unfolded protein	16	26	4.560555148276498e-5	0.0050077791577848255	GOBP	WGD	bifan	peak1	Gmax
COPII-coated vesicle cargo loading	13	19	4.839693346845864e-5	0.0050077791577848255	GOBP	WGD	bifan	peak1	Gmax
lysine biosynthetic process via diaminopimelate	13	19	4.839693346845864e-5	0.0050077791577848255	GOBP	WGD	bifan	peak1	Gmax
protein import into nucleus	33	73	5.0037761368753256e-5	0.0050077791577848255	GOBP	WGD	bifan	peak1	Gmax
chlorophyll biosynthetic process	22	42	5.900584866784885e-5	0.0056781782064214545	GOBP	WGD	bifan	peak1	Gmax
cellular response to heat	20	37	7.113424897048792e-5	0.006451070462615121	GOBP	WGD	bifan	peak1	Gmax
intracellular protein transport	134	418	7.219423379425396e-5	0.006451070462615121	GOBP	WGD	bifan	peak1	Gmax
retrograde protein transport, ER to cytosol	9	11	8.393517466754097e-5	0.007241579552351294	GOBP	WGD	bifan	peak1	Gmax
regulation of catalytic activity	80	231	1.324222412985552e-4	0.011044014924299505	GOBP	WGD	bifan	peak1	Gmax
positive regulation of proteasomal protein catabolic process	14	23	1.631172106070591e-4	0.013165137449640705	GOBP	WGD	bifan	peak1	Gmax
potassium ion homeostasis	6	6	1.829217017989517e-4	0.013472585337485238	GOBP	WGD	bifan	peak1	Gmax
vernalization response	6	6	1.829217017989517e-4	0.013472585337485238	GOBP	WGD	bifan	peak1	Gmax
protein polyubiquitination	45	115	1.8308069603297284e-4	0.013472585337485238	GOBP	WGD	bifan	peak1	Gmax
flower development	15	26	2.2018739545073254e-4	0.014774069648596956	GOBP	WGD	bifan	peak1	Gmax
mitochondrion organization	22	45	2.207966382724682e-4	0.014774069648596956	GOBP	WGD	bifan	peak1	Gmax
'de novo' protein folding	10	14	2.2278876381877363e-4	0.014774069648596956	GOBP	WGD	bifan	peak1	Gmax
regulation of transcription by RNA polymerase II	66	186	2.2438634957901054e-4	0.014774069648596956	GOBP	WGD	bifan	peak1	Gmax
autophagy of mitochondrion	18	34	2.3117379915262937e-4	0.014830688345637916	GOBP	WGD	bifan	peak1	Gmax
proteasome-mediated ubiquitin-dependent protein catabolic process	59	164	3.1073070984771354e-4	0.01943620590097448	GOBP	WGD	bifan	peak1	Gmax
regulation of gene expression	55	151	3.419852085915901e-4	0.020869438826735573	GOBP	WGD	bifan	peak1	Gmax
phosphorelay signal transduction system	27	61	3.582100852625221e-4	0.021339086507781675	GOBP	WGD	bifan	peak1	Gmax
protein phosphorylation	363	1306	3.899980234192285e-4	0.022541539450723905	GOBP	WGD	bifan	peak1	Gmax
protein export from nucleus	11	17	3.9897780683409277e-4	0.022541539450723905	GOBP	WGD	bifan	peak1	Gmax
protein ubiquitination	204	695	4.130333922572845e-4	0.022541539450723905	GOBP	WGD	bifan	peak1	Gmax
endocytosis	33	80	4.169725071508356e-4	0.022541539450723905	GOBP	WGD	bifan	peak1	Gmax
NLS-bearing protein import into nucleus	13	22	4.234421879232708e-4	0.022541539450723905	GOBP	WGD	bifan	peak1	Gmax
intracellular signal transduction	74	218	4.544713385498524e-4	0.023689318521911057	GOBP	WGD	bifan	peak1	Gmax
regulation of transcription, DNA-templated	144	472	4.900484064747205e-4	0.025022471693872464	GOBP	WGD	bifan	peak1	Gmax
cellular response to stimulus	10	15	5.251168914745272e-4	0.025761616911162098	GOBP	WGD	bifan	peak1	Gmax
mRNA destabilization	10	15	5.251168914745272e-4	0.025761616911162098	GOBP	WGD	bifan	peak1	Gmax
protein import into mitochondrial matrix	18	37	8.743516898897062e-4	0.04206976784815471	GOBP	WGD	bifan	peak1	Gmax
circadian regulation of gene expression	7	9	9.839163354317137e-4	0.045588123541669405	GOBP	WGD	bifan	peak1	Gmax
photomorphogenesis	7	9	9.839163354317137e-4	0.045588123541669405	GOBP	WGD	bifan	peak1	Gmax
homoserine biosynthetic process	6	7	0.0010190660567092969	0.046358241343393836	GOBP	WGD	bifan	peak1	Gmax
rRNA processing	69	206	0.0010386831348312892	0.04640687863121225	GOBP	WGD	bifan	peak1	Gmax
response to unfolded protein	12	21	0.0010695689643704224	0.04694844822552275	GOBP	WGD	bifan	peak1	Gmax
regulation of mitotic cell cycle	10	16	0.0011009839608320485	0.04749417017244458	GOBP	WGD	bifan	peak1	Gmax
ATP hydrolysis activity	218	505	4.0865594623692757e-22	8.365187219469907e-19	GOMF	WGD	bifan	peak1	Gmax
ATP binding	867	2808	1.218801584398276e-19	1.0393742809790422e-16	GOMF	WGD	bifan	peak1	Gmax
nucleotide binding	787	2513	1.5232647009951766e-19	1.0393742809790422e-16	GOMF	WGD	bifan	peak1	Gmax
unfolded protein binding	109	226	1.0334245085171698e-15	5.288549922336617e-13	GOMF	WGD	bifan	peak1	Gmax
ATP-dependent protein folding chaperone	50	77	2.200636755265012e-14	9.009406876054958e-12	GOMF	WGD	bifan	peak1	Gmax
RNA binding	448	1418	4.966564808667374e-12	1.6944263605570191e-9	GOMF	WGD	bifan	peak1	Gmax
phosphoprotein phosphatase activity	81	184	1.3013094726024831e-9	3.805400700596119e-7	GOMF	WGD	bifan	peak1	Gmax
phosphatase activity	112	282	1.9657327831392153e-9	5.029818758857467e-7	GOMF	WGD	bifan	peak1	Gmax
protein serine/threonine phosphatase activity	81	192	1.4053855498984553e-8	3.1964713562690423e-6	GOMF	WGD	bifan	peak1	Gmax
mRNA binding	172	497	3.072593600238859e-8	6.041839085398184e-6	GOMF	WGD	bifan	peak1	Gmax
cation binding	43	83	3.246713724444554e-8	6.041839085398184e-6	GOMF	WGD	bifan	peak1	Gmax
myosin phosphatase activity	62	138	4.2669664837051256e-8	7.278733660120327e-6	GOMF	WGD	bifan	peak1	Gmax
nucleic acid binding	292	944	2.435359584953791e-7	3.834754669538777e-5	GOMF	WGD	bifan	peak1	Gmax
protein binding	852	3106	4.5085233531621137e-7	6.592105217087748e-5	GOMF	WGD	bifan	peak1	Gmax
GTPase activity	113	316	1.1286773224800042e-6	1.5402683194110458e-4	GOMF	WGD	bifan	peak1	Gmax
GTP binding	133	390	2.589784052806724e-6	3.313304972559602e-4	GOMF	WGD	bifan	peak1	Gmax
nuclear import signal receptor activity	15	21	5.385866014132589e-6	6.29383682360489e-4	GOMF	WGD	bifan	peak1	Gmax
ATP-dependent chromatin remodeler activity	29	56	5.53439486198769e-6	6.29383682360489e-4	GOMF	WGD	bifan	peak1	Gmax
heat shock protein binding	24	43	6.539288096011529e-6	6.890060166856174e-4	GOMF	WGD	bifan	peak1	Gmax
kinase activity	353	1209	6.7318614234061305e-6	6.890060166856174e-4	GOMF	WGD	bifan	peak1	Gmax
ATP-dependent peptidase activity	31	65	2.307074277014359e-5	0.002248848116689711	GOMF	WGD	bifan	peak1	Gmax
TBP-class protein binding	17	28	3.372539250258695e-5	0.003004116505431549	GOMF	WGD	bifan	peak1	Gmax
helicase activity	69	186	3.375411803855673e-5	0.003004116505431549	GOMF	WGD	bifan	peak1	Gmax
histone binding	47	115	3.761369346608711e-5	0.0032081346052116803	GOMF	WGD	bifan	peak1	Gmax
metal ion binding	645	2378	5.45846182442025e-5	0.004469388541835301	GOMF	WGD	bifan	peak1	Gmax
structural constituent of ribosome	186	606	5.717496942691582e-5	0.004501429323726796	GOMF	WGD	bifan	peak1	Gmax
RNA helicase activity	53	138	9.241095680107583e-5	0.007006119576733415	GOMF	WGD	bifan	peak1	Gmax
protein kinase activity	364	1293	1.361925010450525e-4	0.009956644629972231	GOMF	WGD	bifan	peak1	Gmax
proteasome-activating activity	14	23	1.631172106070591e-4	0.011513825176298276	GOMF	WGD	bifan	peak1	Gmax
nuclear export signal receptor activity	11	16	1.7959664986001445e-4	0.01225447807544832	GOMF	WGD	bifan	peak1	Gmax
ligase activity	65	183	2.4129485440920313e-4	0.01593324409598835	GOMF	WGD	bifan	peak1	Gmax
chlorophyllide a oxygenase [overall] activity	8	10	2.9039379434495484e-4	0.01857612803200383	GOMF	WGD	bifan	peak1	Gmax
nuclear localization sequence binding	15	28	6.496432290980795e-4	0.038434197946176855	GOMF	WGD	bifan	peak1	Gmax
acetyl-CoA carboxylase activity	9	13	6.762376188928016e-4	0.038434197946176855	GOMF	WGD	bifan	peak1	Gmax
Lys63-specific deubiquitinase activity	9	13	6.762376188928016e-4	0.038434197946176855	GOMF	WGD	bifan	peak1	Gmax
phosphatidylinositol binding	25	57	6.89667348149848e-4	0.038434197946176855	GOMF	WGD	bifan	peak1	Gmax
protein phosphatase regulator activity	24	54	6.947070464135534e-4	0.038434197946176855	GOMF	WGD	bifan	peak1	Gmax
rRNA binding	39	102	8.105536680487555e-4	0.04282855824501584	GOMF	WGD	bifan	peak1	Gmax
misfolded protein binding	17	34	8.159813246485675e-4	0.04282855824501584	GOMF	WGD	bifan	peak1	Gmax
protein kinase regulator activity	14	26	9.187642510162107e-4	0.04694527706920717	GOMF	WGD	bifan	peak1	Gmax
chaperone binding	32	80	9.522972029920982e-4	0.04694527706920717	GOMF	WGD	bifan	peak1	Gmax
translation elongation factor activity	21	46	9.632152598469472e-4	0.04694527706920717	GOMF	WGD	bifan	peak1	Gmax
aspartate kinase activity	6	7	0.0010190660567092969	0.04740973222918025	GOMF	WGD	bifan	peak1	Gmax
protein phosphatase binding	6	7	0.0010190660567092969	0.04740973222918025	GOMF	WGD	bifan	peak1	Gmax
ATPase, AAA-type, core	84	175	2.6247390636019644e-12	2.4003238736639964e-8	InterPro	WGD	bifan	peak1	Gmax
Armadillo-type fold	190	516	1.819738772764547e-11	8.320755538465892e-8	InterPro	WGD	bifan	peak1	Gmax
ATPase, AAA-type, conserved site	55	107	6.073035625403622e-10	1.851263693143871e-6	InterPro	WGD	bifan	peak1	Gmax
PPM-type phosphatase, divalent cation binding	43	77	1.5882496244899925e-9	3.6311357039902453e-6	InterPro	WGD	bifan	peak1	Gmax
Zinc finger, RING/FYVE/PHD-type	268	819	2.9395731304331474e-9	5.3764792555622265e-6	InterPro	WGD	bifan	peak1	Gmax
Translation protein, beta-barrel domain superfamily	37	64	5.992034602405266e-9	7.3592179817337504e-6	InterPro	WGD	bifan	peak1	Gmax
Helicase, C-terminal	89	214	6.457598231425609e-9	7.3592179817337504e-6	InterPro	WGD	bifan	peak1	Gmax
GroEL-like apical domain superfamily	26	38	7.444835155573597e-9	7.3592179817337504e-6	InterPro	WGD	bifan	peak1	Gmax
PPM-type phosphatase domain	63	136	7.83137645337686e-9	7.3592179817337504e-6	InterPro	WGD	bifan	peak1	Gmax
PPM-type phosphatase domain superfamily	64	139	8.047258591288957e-9	7.3592179817337504e-6	InterPro	WGD	bifan	peak1	Gmax
Chaperonin Cpn60/GroEL/TCP-1 family	26	39	1.7250217528000822e-8	1.4341203572142501e-5	InterPro	WGD	bifan	peak1	Gmax
Helicase superfamily 1/2, ATP-binding domain	89	219	2.4104724843685875e-8	1.8369809057958944e-5	InterPro	WGD	bifan	peak1	Gmax
AAA ATPase, AAA+ lid domain	47	94	3.24002407777434e-8	2.1388966523530965e-5	InterPro	WGD	bifan	peak1	Gmax
WD40/YVTN repeat-like-containing domain superfamily	153	432	3.274418057183527e-8	2.1388966523530965e-5	InterPro	WGD	bifan	peak1	Gmax
Armadillo-like helical	140	389	4.070145058556886e-8	2.4814317707001813e-5	InterPro	WGD	bifan	peak1	Gmax
Gelsolin-like domain superfamily	13	14	8.648423807292198e-8	4.943114732355447e-5	InterPro	WGD	bifan	peak1	Gmax
Translation elongation factor EFTu-like, domain 2	23	35	1.740634723022725e-7	9.363590907084012e-5	InterPro	WGD	bifan	peak1	Gmax
WD40-repeat-containing domain superfamily	135	381	1.9854227890134582e-7	1.008705078084893e-4	InterPro	WGD	bifan	peak1	Gmax
WD40 repeat	134	378	2.1325613280234332e-7	1.0264354391986471e-4	InterPro	WGD	bifan	peak1	Gmax
UBA-like superfamily	37	71	2.388806172817933e-7	1.0922816225209999e-4	InterPro	WGD	bifan	peak1	Gmax
TCP-1-like chaperonin intermediate domain superfamily	20	29	3.4188137176395165e-7	1.488811973705399e-4	InterPro	WGD	bifan	peak1	Gmax
GroEL-like equatorial domain superfamily	20	30	7.948556744748952e-7	3.251979670533489e-4	InterPro	WGD	bifan	peak1	Gmax
Translational (tr)-type GTP-binding domain	25	42	8.178844442019709e-7	3.251979670533489e-4	InterPro	WGD	bifan	peak1	Gmax
Tetratricopeptide repeat 1	22	35	1.010325539904836e-6	3.849761276012386e-4	InterPro	WGD	bifan	peak1	Gmax
Zinc finger, Sec23/Sec24-type	11	12	1.3133144370695528e-6	4.8041042108004243e-4	InterPro	WGD	bifan	peak1	Gmax
Histidine kinase/HSP90-like ATPase	24	42	3.732856391741459e-6	0.001312960450095217	InterPro	WGD	bifan	peak1	Gmax
LIS1 homology motif	27	50	4.107559345092736e-6	0.0013912455633656694	InterPro	WGD	bifan	peak1	Gmax
Small GTP-binding protein domain	67	170	4.325132545959113e-6	0.0014093066347798126	InterPro	WGD	bifan	peak1	Gmax
TOG domain	16	23	4.469097037574036e-6	0.0014093066347798126	InterPro	WGD	bifan	peak1	Gmax
Chaperonin Cpn60, conserved site	10	11	5.068800835791075e-6	0.001448568238853418	InterPro	WGD	bifan	peak1	Gmax
PsbQ-like domain superfamily	10	11	5.068800835791075e-6	0.001448568238853418	InterPro	WGD	bifan	peak1	Gmax
Sec23/Sec24 beta-sandwich	10	11	5.068800835791075e-6	0.001448568238853418	InterPro	WGD	bifan	peak1	Gmax
P-loop containing nucleoside triphosphate hydrolase	398	1380	6.412172114769608e-6	0.0017769489087747898	InterPro	WGD	bifan	peak1	Gmax
SNF2, N-terminal	28	54	7.749971279150493e-6	0.002025674072699184	InterPro	WGD	bifan	peak1	Gmax
Zinc finger, FYVE/PHD-type	60	150	7.752716516617981e-6	0.002025674072699184	InterPro	WGD	bifan	peak1	Gmax
CLU central domain	8	8	1.0373979286860039e-5	0.0024965800152193436	InterPro	WGD	bifan	peak1	Gmax
GroES chaperonin superfamily	8	8	1.0373979286860039e-5	0.0024965800152193436	InterPro	WGD	bifan	peak1	Gmax
Phytepsin	8	8	1.0373979286860039e-5	0.0024965800152193436	InterPro	WGD	bifan	peak1	Gmax
WD40 repeat, conserved site	74	197	1.0851382169792191e-5	0.0025445099985320404	InterPro	WGD	bifan	peak1	Gmax
SNF2-like, N-terminal domain superfamily	28	55	1.2205882037388333e-5	0.0027905697807979074	InterPro	WGD	bifan	peak1	Gmax
AAA+ ATPase domain	121	360	1.5402552091103604e-5	0.003435520460320548	InterPro	WGD	bifan	peak1	Gmax
HECT domain	14	20	1.6299924591396512e-5	0.003466576985774909	InterPro	WGD	bifan	peak1	Gmax
HECT, E3 ligase catalytic domain	14	20	1.6299924591396512e-5	0.003466576985774909	InterPro	WGD	bifan	peak1	Gmax
Clp ATPase, C-terminal	13	18	1.957602116677508e-5	0.003978282523781291	InterPro	WGD	bifan	peak1	Gmax
Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal	13	18	1.957602116677508e-5	0.003978282523781291	InterPro	WGD	bifan	peak1	Gmax
Zinc finger, PHD-finger	44	104	2.4013775921105337e-5	0.004373385810690019	InterPro	WGD	bifan	peak1	Gmax
Protein phosphatase 2C family	26	51	2.4021699975086393e-5	0.004373385810690019	InterPro	WGD	bifan	peak1	Gmax
Sec23/Sec24 helical domain superfamily	11	14	2.438957641828223e-5	0.004373385810690019	InterPro	WGD	bifan	peak1	Gmax
Sec23/Sec24, helical domain	11	14	2.438957641828223e-5	0.004373385810690019	InterPro	WGD	bifan	peak1	Gmax
Sec23/Sec24, trunk domain	11	14	2.438957641828223e-5	0.004373385810690019	InterPro	WGD	bifan	peak1	Gmax
Zinc finger, Sec23/Sec24-type superfamily	11	14	2.438957641828223e-5	0.004373385810690019	InterPro	WGD	bifan	peak1	Gmax
FCP1 homology domain	15	23	2.950821241892333e-5	0.00518947312636642	InterPro	WGD	bifan	peak1	Gmax
Heat shock protein 70 family	19	33	3.3326604744650724e-5	0.005541305461633289	InterPro	WGD	bifan	peak1	Gmax
Heat shock protein 70kD, C-terminal domain superfamily	19	33	3.3326604744650724e-5	0.005541305461633289	InterPro	WGD	bifan	peak1	Gmax
Heat shock protein 70kD, peptide-binding domain superfamily	19	33	3.3326604744650724e-5	0.005541305461633289	InterPro	WGD	bifan	peak1	Gmax
Atypical Arm repeat	7	7	4.356430931389434e-5	0.006752467943653623	InterPro	WGD	bifan	peak1	Gmax
Clustered mitochondria protein, N-terminal	7	7	4.356430931389434e-5	0.006752467943653623	InterPro	WGD	bifan	peak1	Gmax
Importin-alpha, importin-beta-binding domain	7	7	4.356430931389434e-5	0.006752467943653623	InterPro	WGD	bifan	peak1	Gmax
Importin-alpha, importin-beta-binding domain superfamily	7	7	4.356430931389434e-5	0.006752467943653623	InterPro	WGD	bifan	peak1	Gmax
Heat shock protein 70, conserved site	16	26	4.560555148276498e-5	0.006951046138498096	InterPro	WGD	bifan	peak1	Gmax
Zinc finger, PHD-type	48	120	5.992485694351055e-5	0.008840294588710348	InterPro	WGD	bifan	peak1	Gmax
Ribosomal protein L23/L15e core domain superfamily	12	17	5.993420060142609e-5	0.008840294588710348	InterPro	WGD	bifan	peak1	Gmax
Tetratricopeptide repeat	71	196	6.368243406251089e-5	0.009244061261931143	InterPro	WGD	bifan	peak1	Gmax
CBS domain	23	45	6.661331610560741e-5	0.009518418371652808	InterPro	WGD	bifan	peak1	Gmax
GroES chaperonin family	8	9	7.360527209496913e-5	0.010198791110734738	InterPro	WGD	bifan	peak1	Gmax
WHIM1 domain	8	9	7.360527209496913e-5	0.010198791110734738	InterPro	WGD	bifan	peak1	Gmax
Chaperonin Cpn60/GroEL	10	13	8.107505853270819e-5	0.010442695919459385	InterPro	WGD	bifan	peak1	Gmax
Cullin protein, neddylation domain	10	13	8.107505853270819e-5	0.010442695919459385	InterPro	WGD	bifan	peak1	Gmax
Saposin B type, region 2	10	13	8.107505853270819e-5	0.010442695919459385	InterPro	WGD	bifan	peak1	Gmax
Saposin-like	10	13	8.107505853270819e-5	0.010442695919459385	InterPro	WGD	bifan	peak1	Gmax
Saposin-like type B, region 1	10	13	8.107505853270819e-5	0.010442695919459385	InterPro	WGD	bifan	peak1	Gmax
K Homology domain, type 1	27	57	8.848893358283136e-5	0.01123932357798601	InterPro	WGD	bifan	peak1	Gmax
Concanavalin A-like lectin/glucanase domain superfamily	42	103	1.0086916195530114e-4	0.012636280631249712	InterPro	WGD	bifan	peak1	Gmax
26S proteasome regulatory subunit P45-like	13	20	1.0800566424014536e-4	0.013347456749677423	InterPro	WGD	bifan	peak1	Gmax
Clp,  repeat (R) domain	17	30	1.1383266148970876e-4	0.013697364333202455	InterPro	WGD	bifan	peak1	Gmax
Clp, N-terminal domain superfamily	17	30	1.1383266148970876e-4	0.013697364333202455	InterPro	WGD	bifan	peak1	Gmax
Protein kinase-like domain superfamily	375	1334	1.2276382374979504e-4	0.01442183586227373	InterPro	WGD	bifan	peak1	Gmax
Armadillo	48	123	1.230074573272117e-4	0.01442183586227373	InterPro	WGD	bifan	peak1	Gmax
K Homology domain, type 1 superfamily	31	70	1.3390330964031875e-4	0.015500579324819177	InterPro	WGD	bifan	peak1	Gmax
Bromodomain-like superfamily	22	44	1.4541812521311358e-4	0.01593160917096584	InterPro	WGD	bifan	peak1	Gmax
Zinc finger, RING-type	162	527	1.5253966830563865e-4	0.01593160917096584	InterPro	WGD	bifan	peak1	Gmax
CCT domain	16	28	1.5839786950231334e-4	0.01593160917096584	InterPro	WGD	bifan	peak1	Gmax
ClpA/B family	11	16	1.7959664986001445e-4	0.01593160917096584	InterPro	WGD	bifan	peak1	Gmax
Translation elongation factor EFTu/EF1A, C-terminal	11	16	1.7959664986001445e-4	0.01593160917096584	InterPro	WGD	bifan	peak1	Gmax
Aspartate kinase	6	6	1.829217017989517e-4	0.01593160917096584	InterPro	WGD	bifan	peak1	Gmax
Aspartate kinase, conserved site	6	6	1.829217017989517e-4	0.01593160917096584	InterPro	WGD	bifan	peak1	Gmax
B30.2/SPRY domain	6	6	1.829217017989517e-4	0.01593160917096584	InterPro	WGD	bifan	peak1	Gmax
