TermID	genes	all	pval	padj	Class	Mode	Motif	Species
photomorphogenesis	7	9	0.001048501102034786	0.04602367995247429	GOBP	WGD	bifan	Gmax
homoserine biosynthetic process	6	7	0.0010781841483583814	0.04651063343435639	GOBP	WGD	bifan	Gmax
response to unfolded protein	12	21	0.001174180170320539	0.04979319976511845	GOBP	WGD	bifan	Gmax
regulation of mitotic cell cycle	10	16	0.0011951967464129097	0.04983970432541834	GOBP	WGD	bifan	Gmax
ATP hydrolysis activity	219	505	6.023720306016111e-22	1.2330555466414979e-18	GOMF	WGD	bifan	Gmax
ATP binding	876	2808	5.876785278802174e-20	6.014889732854025e-17	GOMF	WGD	bifan	Gmax
nucleotide binding	794	2513	1.2198685081505165e-19	8.323569453947025e-17	GOMF	WGD	bifan	Gmax
unfolded protein binding	109	226	2.1287214206951227e-15	1.089373187040729e-12	GOMF	WGD	bifan	Gmax
ATP-dependent protein folding chaperone	50	77	3.321647874434097e-14	1.3598826397933194e-11	GOMF	WGD	bifan	Gmax
RNA binding	459	1418	2.0949529825669816e-13	7.147281258857686e-11	GOMF	WGD	bifan	Gmax
phosphoprotein phosphatase activity	81	184	2.121979864488158e-9	6.205275403724657e-7	GOMF	WGD	bifan	Gmax
phosphatase activity	112	282	3.5545272760898565e-9	9.09514666769492e-7	GOMF	WGD	bifan	Gmax
mRNA binding	176	497	6.8423690658843265e-9	1.556258830873913e-6	GOMF	WGD	bifan	Gmax
protein serine/threonine phosphatase activity	81	192	2.237739595195563e-8	4.580652951365317e-6	GOMF	WGD	bifan	Gmax
cation binding	43	83	4.403082223365911e-8	8.193735737481836e-6	GOMF	WGD	bifan	Gmax
nucleic acid binding	298	944	5.985879687257899e-8	9.86081894710072e-6	GOMF	WGD	bifan	Gmax
myosin phosphatase activity	62	138	6.26236669820759e-8	9.86081894710072e-6	GOMF	WGD	bifan	Gmax
GTPase activity	113	316	1.8677237772781397e-6	2.58531914095388e-4	GOMF	WGD	bifan	Gmax
protein binding	853	3106	1.8944693265416803e-6	2.58531914095388e-4	GOMF	WGD	bifan	Gmax
GTP binding	133	390	4.434500334114794e-6	5.673388864958115e-4	GOMF	WGD	bifan	Gmax
kinase activity	357	1209	5.036308770638579e-6	6.064308266763042e-4	GOMF	WGD	bifan	Gmax
nuclear import signal receptor activity	15	21	6.136614725174465e-6	6.964132537530455e-4	GOMF	WGD	bifan	Gmax
structural constituent of ribosome	193	606	6.703014872677872e-6	6.964132537530455e-4	GOMF	WGD	bifan	Gmax
ATP-dependent chromatin remodeler activity	29	56	6.804233060606209e-6	6.964132537530455e-4	GOMF	WGD	bifan	Gmax
heat shock protein binding	24	43	7.837311820473694e-6	7.63951299833793e-4	GOMF	WGD	bifan	Gmax
helicase activity	70	186	2.422482723663353e-5	0.0022540100615176745	GOMF	WGD	bifan	Gmax
ATP-dependent peptidase activity	31	65	2.8343840724812263e-5	0.0025226018245082913	GOMF	WGD	bifan	Gmax
TBP-class protein binding	17	28	3.863637789981268e-5	0.0032953610650381902	GOMF	WGD	bifan	Gmax
metal ion binding	652	2378	4.319314990012368e-5	0.0035366551138221263	GOMF	WGD	bifan	Gmax
histone binding	47	115	4.888045356094399e-5	0.003848395709202013	GOMF	WGD	bifan	Gmax
RNA helicase activity	54	138	5.862128873170632e-5	0.004444362149400105	GOMF	WGD	bifan	Gmax
protein kinase activity	367	1293	1.4370542288377495e-4	0.010505892880110262	GOMF	WGD	bifan	Gmax
proteasome-activating activity	14	23	1.8254253922668284e-4	0.012884985441276545	GOMF	WGD	bifan	Gmax
nuclear export signal receptor activity	11	16	1.9737894857464608e-4	0.013467823591076684	GOMF	WGD	bifan	Gmax
protein phosphatase regulator activity	25	54	2.949523205658323e-4	0.019476367748330926	GOMF	WGD	bifan	Gmax
chlorophyllide a oxygenase [overall] activity	8	10	3.124774010081994e-4	0.019988788745743256	GOMF	WGD	bifan	Gmax
ligase activity	65	183	3.225708872325319e-4	0.02000916988378766	GOMF	WGD	bifan	Gmax
rRNA binding	40	102	4.7619662344628843e-4	0.02866983788807507	GOMF	WGD	bifan	Gmax
nuclear localization sequence binding	15	28	7.260674762213554e-4	0.040436826448498844	GOMF	WGD	bifan	Gmax
acetyl-CoA carboxylase activity	9	13	7.30905021296755e-4	0.040436826448498844	GOMF	WGD	bifan	Gmax
Lys63-specific deubiquitinase activity	9	13	7.30905021296755e-4	0.040436826448498844	GOMF	WGD	bifan	Gmax
ubiquitin binding	39	101	7.936433040354792e-4	0.04223258968348651	GOMF	WGD	bifan	Gmax
phosphatidylinositol binding	25	57	8.046267697391177e-4	0.04223258968348651	GOMF	WGD	bifan	Gmax
misfolded protein binding	17	34	9.194835500126063e-4	0.04705457067189513	GOMF	WGD	bifan	Gmax
Armadillo-type fold	194	516	3.3002813921376036e-12	2.0892463393078227e-8	InterPro	WGD	bifan	Gmax
ATPase, AAA-type, core	84	175	4.569155471422247e-12	2.0892463393078227e-8	InterPro	WGD	bifan	Gmax
ATPase, AAA-type, conserved site	55	107	8.937196143702874e-10	2.7243552911387595e-6	InterPro	WGD	bifan	Gmax
Zinc finger, RING/FYVE/PHD-type	272	819	1.223413614675241e-9	2.7970293765512697e-6	InterPro	WGD	bifan	Gmax
Helicase, C-terminal	91	214	1.9421770271847216e-9	3.3413618929183384e-6	InterPro	WGD	bifan	Gmax
PPM-type phosphatase, divalent cation binding	43	77	2.19225493247786e-9	3.3413618929183384e-6	InterPro	WGD	bifan	Gmax
Helicase superfamily 1/2, ATP-binding domain	91	219	7.720558854545231e-9	9.101906153123882e-6	InterPro	WGD	bifan	Gmax
Translation protein, beta-barrel domain superfamily	37	64	7.962301719517885e-9	9.101906153123882e-6	InterPro	WGD	bifan	Gmax
GroEL-like apical domain superfamily	26	38	9.282864303930584e-9	9.432421562160577e-6	InterPro	WGD	bifan	Gmax
PPM-type phosphatase domain	63	136	1.1709603034954536e-8	1.004170246042047e-5	InterPro	WGD	bifan	Gmax
PPM-type phosphatase domain superfamily	64	139	1.2078592352610734e-8	1.004170246042047e-5	InterPro	WGD	bifan	Gmax
Chaperonin Cpn60/GroEL/TCP-1 family	26	39	2.1446772109779745e-8	1.592439560040634e-5	InterPro	WGD	bifan	Gmax
Armadillo-like helical	142	389	2.2637194401889822e-8	1.592439560040634e-5	InterPro	WGD	bifan	Gmax
AAA ATPase, AAA+ lid domain	47	94	4.475602148612095e-8	2.9235272606469716e-5	InterPro	WGD	bifan	Gmax
WD40/YVTN repeat-like-containing domain superfamily	153	432	6.38376891481884e-8	3.891971115067886e-5	InterPro	WGD	bifan	Gmax
Gelsolin-like domain superfamily	13	14	9.799337258620598e-8	5.600933701880336e-5	InterPro	WGD	bifan	Gmax
Translation elongation factor EFTu-like, domain 2	23	35	2.1077445248733183e-7	1.133842569409794e-4	InterPro	WGD	bifan	Gmax
UBA-like superfamily	37	71	3.110049664153037e-7	1.58007800992664e-4	InterPro	WGD	bifan	Gmax
WD40-repeat-containing domain superfamily	135	381	3.5820592722255317e-7	1.7241016865527625e-4	InterPro	WGD	bifan	Gmax
WD40 repeat	134	378	3.83293335717739e-7	1.7526087775693614e-4	InterPro	WGD	bifan	Gmax
TCP-1-like chaperonin intermediate domain superfamily	20	29	4.055251877074045e-7	1.765965638849626e-4	InterPro	WGD	bifan	Gmax
GroEL-like equatorial domain superfamily	20	30	9.401409027645158e-7	3.907994798082499e-4	InterPro	WGD	bifan	Gmax
Translational (tr)-type GTP-binding domain	25	42	9.95449883518034e-7	3.9579952977271393e-4	InterPro	WGD	bifan	Gmax
Tetratricopeptide repeat 1	22	35	1.2080943267995774e-6	4.6033427577425566e-4	InterPro	WGD	bifan	Gmax
Zinc finger, Sec23/Sec24-type	11	12	1.4591704283466468e-6	5.337645426892034e-4	InterPro	WGD	bifan	Gmax
Histidine kinase/HSP90-like ATPase	24	42	4.486569969284225e-6	0.001578064706504009	InterPro	WGD	bifan	Gmax
LIS1 homology motif	27	50	5.0103395006874535e-6	0.0016451555406200283	InterPro	WGD	bifan	Gmax
TOG domain	16	23	5.127472534945031e-6	0.0016451555406200283	InterPro	WGD	bifan	Gmax
Chaperonin Cpn60, conserved site	10	11	5.576798442779757e-6	0.0016451555406200283	InterPro	WGD	bifan	Gmax
PsbQ-like domain superfamily	10	11	5.576798442779757e-6	0.0016451555406200283	InterPro	WGD	bifan	Gmax
Sec23/Sec24 beta-sandwich	10	11	5.576798442779757e-6	0.0016451555406200283	InterPro	WGD	bifan	Gmax
Small GTP-binding protein domain	67	170	6.154995167537898e-6	0.00175898221272294	InterPro	WGD	bifan	Gmax
P-loop containing nucleoside triphosphate hydrolase	401	1380	7.3028009254393006e-6	0.002023761044337649	InterPro	WGD	bifan	Gmax
SNF2, N-terminal	28	54	9.46361150480162e-6	0.002545433153276789	InterPro	WGD	bifan	Gmax
Zinc finger, FYVE/PHD-type	60	150	1.0711216527145904e-05	0.0027006818718778875	InterPro	WGD	bifan	Gmax
CLU central domain	8	8	1.1222078855260768e-5	0.0027006818718778875	InterPro	WGD	bifan	Gmax
GroES chaperonin superfamily	8	8	1.1222078855260768e-5	0.0027006818718778875	InterPro	WGD	bifan	Gmax
Phytepsin	8	8	1.1222078855260768e-5	0.0027006818718778875	InterPro	WGD	bifan	Gmax
SNF2-like, N-terminal domain superfamily	28	55	1.4862335076724596e-5	0.0034850270327345238	InterPro	WGD	bifan	Gmax
WD40 repeat, conserved site	74	197	1.5583120073720423e-5	0.003562690826854332	InterPro	WGD	bifan	Gmax
HECT domain	14	20	1.839228614883301e-5	0.004004701353120903	InterPro	WGD	bifan	Gmax
HECT, E3 ligase catalytic domain	14	20	1.839228614883301e-5	0.004004701353120903	InterPro	WGD	bifan	Gmax
Clp ATPase, C-terminal	13	18	2.193582144378869e-5	0.0045591610705329	InterPro	WGD	bifan	Gmax
Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal	13	18	2.193582144378869e-5	0.0045591610705329	InterPro	WGD	bifan	Gmax
AAA+ ATPase domain	121	360	2.4762981247247553e-5	0.005029775378152629	InterPro	WGD	bifan	Gmax
Sec23/Sec24 helical domain superfamily	11	14	2.695013597916663e-5	0.005029775378152629	InterPro	WGD	bifan	Gmax
Sec23/Sec24, helical domain	11	14	2.695013597916663e-5	0.005029775378152629	InterPro	WGD	bifan	Gmax
Sec23/Sec24, trunk domain	11	14	2.695013597916663e-5	0.005029775378152629	InterPro	WGD	bifan	Gmax
Zinc finger, Sec23/Sec24-type superfamily	11	14	2.695013597916663e-5	0.005029775378152629	InterPro	WGD	bifan	Gmax
Protein phosphatase 2C family	26	51	2.8855111457397938e-5	0.0052775998855580835	InterPro	WGD	bifan	Gmax
Zinc finger, PHD-finger	44	104	3.102715957878606e-5	0.005563595575450951	InterPro	WGD	bifan	Gmax
FCP1 homology domain	15	23	3.3434840247287044e-5	0.005880031039643077	InterPro	WGD	bifan	Gmax
Heat shock protein 70 family	19	33	3.8599335025007825e-5	0.006418016705521756	InterPro	WGD	bifan	Gmax
Heat shock protein 70kD, C-terminal domain superfamily	19	33	3.8599335025007825e-5	0.006418016705521756	InterPro	WGD	bifan	Gmax
Heat shock protein 70kD, peptide-binding domain superfamily	19	33	3.8599335025007825e-5	0.006418016705521756	InterPro	WGD	bifan	Gmax
Atypical Arm repeat	7	7	4.666491592441262e-5	0.007233061968283956	InterPro	WGD	bifan	Gmax
Clustered mitochondria protein, N-terminal	7	7	4.666491592441262e-5	0.007233061968283956	InterPro	WGD	bifan	Gmax
Importin-alpha, importin-beta-binding domain	7	7	4.666491592441262e-5	0.007233061968283956	InterPro	WGD	bifan	Gmax
Importin-alpha, importin-beta-binding domain superfamily	7	7	4.666491592441262e-5	0.007233061968283956	InterPro	WGD	bifan	Gmax
Heat shock protein 70, conserved site	16	26	5.188806332776841e-5	0.007908605652207369	InterPro	WGD	bifan	Gmax
Ribosomal protein L23/L15e core domain superfamily	12	17	6.650983556250953e-5	0.00997102370851065	InterPro	WGD	bifan	Gmax
Armadillo	49	123	7.436564593208752e-5	0.010968932774982908	InterPro	WGD	bifan	Gmax
Zinc finger, PHD-type	48	120	7.772629488583241e-5	0.01100331100384927	InterPro	WGD	bifan	Gmax
CBS domain	23	45	7.840243222560355e-5	0.01100331100384927	InterPro	WGD	bifan	Gmax
GroES chaperonin family	8	9	7.941153922953e-5	0.01100331100384927	InterPro	WGD	bifan	Gmax
WHIM1 domain	8	9	7.941153922953e-5	0.01100331100384927	InterPro	WGD	bifan	Gmax
Zinc finger, RING-type	165	527	8.098630888387563e-5	0.011054026787209592	InterPro	WGD	bifan	Gmax
Tetratricopeptide repeat	71	196	8.834312390752606e-5	0.011114133965530768	InterPro	WGD	bifan	Gmax
Chaperonin Cpn60/GroEL	10	13	8.871861995448289e-5	0.011114133965530768	InterPro	WGD	bifan	Gmax
Cullin protein, neddylation domain	10	13	8.871861995448289e-5	0.011114133965530768	InterPro	WGD	bifan	Gmax
Saposin B type, region 2	10	13	8.871861995448289e-5	0.011114133965530768	InterPro	WGD	bifan	Gmax
Saposin-like	10	13	8.871861995448289e-5	0.011114133965530768	InterPro	WGD	bifan	Gmax
Saposin-like type B, region 1	10	13	8.871861995448289e-5	0.011114133965530768	InterPro	WGD	bifan	Gmax
K Homology domain, type 1	27	57	1.0581363930897674e-4	0.013076563938926923	InterPro	WGD	bifan	Gmax
26S proteasome regulatory subunit P45-like	13	20	1.2036292152726262e-4	0.014676252231557555	InterPro	WGD	bifan	Gmax
Concanavalin A-like lectin/glucanase domain superfamily	42	103	1.2749329573601923e-4	0.015204929016325771	InterPro	WGD	bifan	Gmax
Clp,  repeat (R) domain	17	30	1.296866553606791e-4	0.015204929016325771	InterPro	WGD	bifan	Gmax
Clp, N-terminal domain superfamily	17	30	1.296866553606791e-4	0.015204929016325771	InterPro	WGD	bifan	Gmax
Protein kinase-like domain superfamily	378	1334	1.32733632270061e-4	0.015365178064679845	InterPro	WGD	bifan	Gmax
K Homology domain, type 1 superfamily	31	70	1.621929561066214e-4	0.017190766521096558	InterPro	WGD	bifan	Gmax
Bromodomain-like superfamily	22	44	1.6952080651519533e-4	0.017190766521096558	InterPro	WGD	bifan	Gmax
CCT domain	16	28	1.7922532318071592e-4	0.017190766521096558	InterPro	WGD	bifan	Gmax
Aspartate kinase	6	6	1.9402480627212225e-4	0.017190766521096558	InterPro	WGD	bifan	Gmax
Aspartate kinase, conserved site	6	6	1.9402480627212225e-4	0.017190766521096558	InterPro	WGD	bifan	Gmax
B30.2/SPRY domain	6	6	1.9402480627212225e-4	0.017190766521096558	InterPro	WGD	bifan	Gmax
CCB3/YggT	6	6	1.9402480627212225e-4	0.017190766521096558	InterPro	WGD	bifan	Gmax
ChlI/MoxR, AAA lid domain	6	6	1.9402480627212225e-4	0.017190766521096558	InterPro	WGD	bifan	Gmax
Cyclin-dependent kinase 11/PITSLRE, catalytic domain	6	6	1.9402480627212225e-4	0.017190766521096558	InterPro	WGD	bifan	Gmax
DCD domain-containing protein NRP-like	6	6	1.9402480627212225e-4	0.017190766521096558	InterPro	WGD	bifan	Gmax
E3 ubiquitin-protein ligase HECTD1/TRIP12-like	6	6	1.9402480627212225e-4	0.017190766521096558	InterPro	WGD	bifan	Gmax
Elongation factor Tu (EF-Tu), GTP-binding domain	6	6	1.9402480627212225e-4	0.017190766521096558	InterPro	WGD	bifan	Gmax
Elongation factor Tu, domain 2	6	6	1.9402480627212225e-4	0.017190766521096558	InterPro	WGD	bifan	Gmax
Fibronectin type III superfamily	6	6	1.9402480627212225e-4	0.017190766521096558	InterPro	WGD	bifan	Gmax
Magnesium chelatase ChlI-like, catalytic domain	6	6	1.9402480627212225e-4	0.017190766521096558	InterPro	WGD	bifan	Gmax
PH-BEACH domain	6	6	1.9402480627212225e-4	0.017190766521096558	InterPro	WGD	bifan	Gmax
Protein BIC	6	6	1.9402480627212225e-4	0.017190766521096558	InterPro	WGD	bifan	Gmax
Protein CbbY-like	6	6	1.9402480627212225e-4	0.017190766521096558	InterPro	WGD	bifan	Gmax
Protein transport protein Got1	6	6	1.9402480627212225e-4	0.017190766521096558	InterPro	WGD	bifan	Gmax
Serine incorporator/TMS membrane protein	6	6	1.9402480627212225e-4	0.017190766521096558	InterPro	WGD	bifan	Gmax
SIT4 phosphatase-associated protein family	6	6	1.9402480627212225e-4	0.017190766521096558	InterPro	WGD	bifan	Gmax
Ubiquitin-activating enzyme E1, inactive adenylation domain, subdomain 1	6	6	1.9402480627212225e-4	0.017190766521096558	InterPro	WGD	bifan	Gmax
Ubiquitin-activating enzyme, SCCH domain	6	6	1.9402480627212225e-4	0.017190766521096558	InterPro	WGD	bifan	Gmax
Vernalization insensitive 3-like	6	6	1.9402480627212225e-4	0.017190766521096558	InterPro	WGD	bifan	Gmax
ClpA/B family	11	16	1.9737894857464608e-4	0.017190766521096558	InterPro	WGD	bifan	Gmax
Translation elongation factor EFTu/EF1A, C-terminal	11	16	1.9737894857464608e-4	0.017190766521096558	InterPro	WGD	bifan	Gmax
Tr-type G domain, conserved site	15	26	2.474343562586566e-4	0.021347048943258628	InterPro	WGD	bifan	Gmax
PB1 domain	37	90	2.575065595335998e-4	0.022008387728362337	InterPro	WGD	bifan	Gmax
Autophagy protein Atg8 ubiquitin-like	9	12	2.86314435752105e-4	0.023232567741625878	InterPro	WGD	bifan	Gmax
Peptidase M41, FtsH extracellular	9	12	2.86314435752105e-4	0.023232567741625878	InterPro	WGD	bifan	Gmax
Glutamate/acetylglutamate kinase	7	8	2.9476477540847597e-4	0.023232567741625878	InterPro	WGD	bifan	Gmax
Importin subunit alpha	7	8	2.9476477540847597e-4	0.023232567741625878	InterPro	WGD	bifan	Gmax
SANT domain	7	8	2.9476477540847597e-4	0.023232567741625878	InterPro	WGD	bifan	Gmax
WD-repeat protein SPA1/2/3/4	7	8	2.9476477540847597e-4	0.023232567741625878	InterPro	WGD	bifan	Gmax
ADF-H/Gelsolin-like domain superfamily	19	37	3.004208501299207e-4	0.023232567741625878	InterPro	WGD	bifan	Gmax
Histidine kinase domain	16	29	3.106717691471621e-4	0.023232567741625878	InterPro	WGD	bifan	Gmax
S1 domain	16	29	3.106717691471621e-4	0.023232567741625878	InterPro	WGD	bifan	Gmax
Calreticulin/calnexin	8	10	3.124774010081994e-4	0.023232567741625878	InterPro	WGD	bifan	Gmax
Calreticulin/calnexin, conserved site	8	10	3.124774010081994e-4	0.023232567741625878	InterPro	WGD	bifan	Gmax
Calreticulin/calnexin, P domain superfamily	8	10	3.124774010081994e-4	0.023232567741625878	InterPro	WGD	bifan	Gmax
CLU domain	8	10	3.124774010081994e-4	0.023232567741625878	InterPro	WGD	bifan	Gmax
CLU domain containing protein	8	10	3.124774010081994e-4	0.023232567741625878	InterPro	WGD	bifan	Gmax
Pheophorbide a oxygenase	8	10	3.124774010081994e-4	0.023232567741625878	InterPro	WGD	bifan	Gmax
STI1 domain	8	10	3.124774010081994e-4	0.023232567741625878	InterPro	WGD	bifan	Gmax
Oberon, PHD finger domain	12	19	3.2978790140338e-4	0.02393579649471357	InterPro	WGD	bifan	Gmax
YTH domain	12	19	3.2978790140338e-4	0.02393579649471357	InterPro	WGD	bifan	Gmax
YTH domain containing protein	12	19	3.2978790140338e-4	0.02393579649471357	InterPro	WGD	bifan	Gmax
DEAD/DEAH box helicase domain	53	143	3.427776957682075e-4	0.02468269313228549	InterPro	WGD	bifan	Gmax
HAD superfamily	77	225	3.6643941071036256e-4	0.0261803782105177	InterPro	WGD	bifan	Gmax
K Homology domain	27	61	4.235674129030214e-4	0.029898839844280583	InterPro	WGD	bifan	Gmax
Immunoglobulin-like fold	37	92	4.3083688879904346e-4	0.029898839844280583	InterPro	WGD	bifan	Gmax
RNA-binding domain, S1	15	27	4.3311632280672844e-4	0.029898839844280583	InterPro	WGD	bifan	Gmax
Dynamin, GTPase region, conserved site	11	17	4.3730565576356116e-4	0.029898839844280583	InterPro	WGD	bifan	Gmax
Zinc finger, LIM-type	11	17	4.3730565576356116e-4	0.029898839844280583	InterPro	WGD	bifan	Gmax
Protein kinase domain	352	1253	4.3810219126665914e-4	0.029898839844280583	InterPro	WGD	bifan	Gmax
Nucleotide-binding alpha-beta plait domain superfamily	126	401	4.484504346765998e-4	0.030378364630500043	InterPro	WGD	bifan	Gmax
Zinc finger, PHD-type, conserved site	37	93	5.513561523084836e-4	0.037070368050898805	InterPro	WGD	bifan	Gmax
G-protein beta WD-40 repeat	57	159	5.583122941299203e-4	0.037070368050898805	InterPro	WGD	bifan	Gmax
Cullin	10	15	5.715606227639947e-4	0.037070368050898805	InterPro	WGD	bifan	Gmax
Extended PHD (ePHD) domain	10	15	5.715606227639947e-4	0.037070368050898805	InterPro	WGD	bifan	Gmax
Organic solute transporter subunit alpha/Transmembrane protein 184	10	15	5.715606227639947e-4	0.037070368050898805	InterPro	WGD	bifan	Gmax
Saposin B type domain	10	15	5.715606227639947e-4	0.037070368050898805	InterPro	WGD	bifan	Gmax
Importin-beta, N-terminal domain	14	25	6.039316709295834e-4	0.0388940502158524	InterPro	WGD	bifan	Gmax
Cysteine peptidase, cysteine active site	12	20	6.439253712175569e-4	0.040893732776281645	InterPro	WGD	bifan	Gmax
Signal transduction histidine kinase-related protein, C-terminal	12	20	6.439253712175569e-4	0.040893732776281645	InterPro	WGD	bifan	Gmax
MATH/TRAF domain	15	28	7.260674762213554e-4	0.044786995799951795	InterPro	WGD	bifan	Gmax
ClpA/B, conserved site 1	9	13	7.30905021296755e-4	0.044786995799951795	InterPro	WGD	bifan	Gmax
ClpA/B, conserved site 2	9	13	7.30905021296755e-4	0.044786995799951795	InterPro	WGD	bifan	Gmax
ClpA/ClpB, AAA lid domain	9	13	7.30905021296755e-4	0.044786995799951795	InterPro	WGD	bifan	Gmax
EF-Hand 1, calcium-binding site	65	188	7.391333508788373e-4	0.044786995799951795	InterPro	WGD	bifan	Gmax
Bromodomain	20	42	7.444093342364869e-4	0.044786995799951795	InterPro	WGD	bifan	Gmax
CheY-like superfamily	20	42	7.444093342364869e-4	0.044786995799951795	InterPro	WGD	bifan	Gmax
Signal transduction response regulator, receiver domain	20	42	7.444093342364869e-4	0.044786995799951795	InterPro	WGD	bifan	Gmax
Acetyl-CoA biotin carboxyl carrier	5	5	8.066286400686736e-4	0.04581750877905603	InterPro	WGD	bifan	Gmax
Chaperone DnaK	5	5	8.066286400686736e-4	0.04581750877905603	InterPro	WGD	bifan	Gmax
CNOT4, RNA recognition motif	5	5	8.066286400686736e-4	0.04581750877905603	InterPro	WGD	bifan	Gmax
GSKIP domain superfamily	5	5	8.066286400686736e-4	0.04581750877905603	InterPro	WGD	bifan	Gmax
Lon protease	5	5	8.066286400686736e-4	0.04581750877905603	InterPro	WGD	bifan	Gmax
Lon protease, bacterial/eukaryotic-type	5	5	8.066286400686736e-4	0.04581750877905603	InterPro	WGD	bifan	Gmax
Peptidase S16, Lon proteolytic domain	5	5	8.066286400686736e-4	0.04581750877905603	InterPro	WGD	bifan	Gmax
SMCs flexible hinge superfamily	5	5	8.066286400686736e-4	0.04581750877905603	InterPro	WGD	bifan	Gmax
Translation elongation factor EFTu/EF1A, bacterial/organelle	5	5	8.066286400686736e-4	0.04581750877905603	InterPro	WGD	bifan	Gmax
RNA-binding domain superfamily	125	403	8.200559265963072e-4	0.04629266326372364	InterPro	WGD	bifan	Gmax
TFIIS/LEDGF domain superfamily	13	23	8.421605163605885e-4	0.04696071903730233	InterPro	WGD	bifan	Gmax
Ubiquitin interacting motif	13	23	8.421605163605885e-4	0.04696071903730233	InterPro	WGD	bifan	Gmax
EIL	4	7	8.04114002313403e-5	0.003457690209947633	Family	SSD	bifan	Gmax
defense response	66	366	3.52758186400105e-46	8.826009823730628e-43	GOBP	SSD	bifan	Gmax
response to other organism	19	81	2.617362587333503e-16	3.2743205967542123e-13	GOBP	SSD	bifan	Gmax
protein autophosphorylation	22	203	1.9619784728132352e-11	1.6362900463262383e-8	GOBP	SSD	bifan	Gmax
signal transduction	29	372	4.651254414753004e-11	2.9093596364280038e-8	GOBP	SSD	bifan	Gmax
peptidyl-tyrosine phosphorylation	14	108	9.077259447384053e-9	4.54226062747098e-6	GOBP	SSD	bifan	Gmax
translation	36	787	3.589573686340188e-7	1.4968522272038582e-4	GOBP	SSD	bifan	Gmax
protein phosphorylation	49	1306	1.0499437941091283e-6	3.752799104087199e-4	GOBP	SSD	bifan	Gmax
ribosomal large subunit assembly	10	78	1.3488187545836338e-6	4.218430654960315e-4	GOBP	SSD	bifan	Gmax
P-body assembly	5	21	2.9412947373599968e-5	0.008176799369860792	GOBP	SSD	bifan	Gmax
regulation of translation	7	52	3.848929705636722e-5	0.009630022123503078	GOBP	SSD	bifan	Gmax
Arp2/3 complex-mediated actin nucleation	4	16	1.5775295353719467e-4	0.035881626340914644	GOBP	SSD	bifan	Gmax
ADP binding	58	209	4.133077947756673e-52	8.46041055905791e-49	GOMF	SSD	bifan	Gmax
NAD+ nucleosidase activity	29	98	2.0771440361267656e-27	2.1259569209757445e-24	GOMF	SSD	bifan	Gmax
transmembrane receptor protein tyrosine kinase activity	14	85	3.596391558222534e-10	2.4539378398938426e-7	GOMF	SSD	bifan	Gmax
ATP binding	90	2808	3.8075865022909776e-8	1.9485323925474077e-5	GOMF	SSD	bifan	Gmax
structural constituent of ribosome	31	606	2.231437449365531e-7	9.135504917702483e-5	GOMF	SSD	bifan	Gmax
polysaccharide binding	8	40	4.757630102490186e-7	1.6231448032995687e-4	GOMF	SSD	bifan	Gmax
protein kinase activity	49	1293	7.897610732969137e-7	2.3094870243411177e-4	GOMF	SSD	bifan	Gmax
protein folding chaperone	6	44	1.2902060954868392e-4	0.0330131484682695	GOMF	SSD	bifan	Gmax
pentosyltransferase activity	4	18	2.5777849909540705e-4	0.043956883055308135	GOMF	SSD	bifan	Gmax
bis(5'-adenosyl)-triphosphatase activity	2	2	3.2210710592556034e-4	0.043956883055308135	GOMF	SSD	bifan	Gmax
C-8 sterol isomerase activity	2	2	3.2210710592556034e-4	0.043956883055308135	GOMF	SSD	bifan	Gmax
cholestenol delta-isomerase activity	2	2	3.2210710592556034e-4	0.043956883055308135	GOMF	SSD	bifan	Gmax
ethanolaminephosphotransferase activity	2	2	3.2210710592556034e-4	0.043956883055308135	GOMF	SSD	bifan	Gmax
imidazoleglycerol-phosphate synthase activity	2	2	3.2210710592556034e-4	0.043956883055308135	GOMF	SSD	bifan	Gmax
steroid delta-isomerase activity	2	2	3.2210710592556034e-4	0.043956883055308135	GOMF	SSD	bifan	Gmax
NB-ARC	56	203	3.6650942644001405e-50	3.3517287047939283e-46	InterPro	SSD	bifan	Gmax
Disease resistance protein, plants	53	192	1.6322613035280564e-47	7.463514810382038e-44	InterPro	SSD	bifan	Gmax
Apoptotic protease-activating factors, helical domain	52	191	2.789340027373471e-46	8.502838183443464e-43	InterPro	SSD	bifan	Gmax
Leucine-rich repeat domain superfamily	74	642	7.831013744189856e-38	1.790365517265406e-34	InterPro	SSD	bifan	Gmax
Toll/interleukin-1 receptor homology (TIR) domain	29	98	2.0771440361267656e-27	3.7990964420758545e-24	InterPro	SSD	bifan	Gmax
Toll/interleukin-1 receptor homology (TIR) domain superfamily	29	99	2.8895779587636287e-27	4.404198405482231e-24	InterPro	SSD	bifan	Gmax
P-loop containing nucleoside triphosphate hydrolase	80	1380	1.2486926101288817e-20	1.6313277028040888e-17	InterPro	SSD	bifan	Gmax
Rx, N-terminal	19	76	7.180452758747904e-17	8.208155059843698e-14	InterPro	SSD	bifan	Gmax
Winged helix DNA-binding domain superfamily	27	200	4.0543633724789505e-16	4.119683671257778e-13	InterPro	SSD	bifan	Gmax
Probable receptor-like serine/threonine-protein kinase LRK10-like	14	37	1.2699360855717413e-15	1.1613565502553575e-12	InterPro	SSD	bifan	Gmax
